parkCode,fullName,Photography,Colonization_and_Settlement,Lighthouses,Schools_and_Education,Animals,Fish,Forests_and_Woodlands,Geology,Lakes,Mountains,Night_Sky,Astronomy,Rock_Landscapes_and_Features,Trails,Fossils_and_Paleontology,Scenic_Views,Unique_Species,Endangered,Wilderness,Ruins,Canyons_and_Canyonlands,Hot_Springs,River_and_Riparian,Ships_and_Shipwrecks,Explorers_and_Expeditions,Glaciers,Volcanoes,Waterfalls,Architecture_and_Building,Freshwater_Springs,Prop_JAN,Prop_FEB,Prop_MAR,Prop_APR,Prop_MAY,Prop_JUN,Prop_JUL,Prop_AUG,Prop_SEP,Prop_OCT,Prop_NOV,Prop_DEC,TotalVisitors2024
sagu,Saguaro NP,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.10255830442459549,0.12635240587973612,0.16447178637508203,0.1113783312851541,0.08107514088056561,0.04783335041616959,0.03711554372554469,0.036947533150388484,0.04595036397007932,0.0574775800982492,0.0882964256014303,0.10054323419300505,946369
seki,Sequoia NP,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0.03671960249638623,0.02920799375063475,0.051745110810928446,0.06744641192205399,0.1050464540731979,0.09456135702247985,0.16252167691300906,0.15210225012274994,0.11345835627338072,0.08981935333120032,0.05460558517929127,0.04276584810468756,1309573
shen,Shenandoah NP,0,0,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0.014447646248047478,0.023546530047767397,0.05422997527628878,0.07507683650435906,0.09445527321938994,0.11009056447145146,0.09913260640700472,0.10821870107794916,0.09056505277550254,0.20993703679374218,0.09905587163435184,0.02124390554414546,1720211
thro,Theodore Roosevelt NP,0,1,0,0,1,1,0,1,0,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0013043163867707392,0.0036428083187007043,0.013103195165843283,0.0165836461100401,0.09495996321718642,0.1916035314775476,0.210491560827395,0.2099540078395418,0.1548166248494101,0.07662176598435638,0.02483658525604031,0.002081994567167519,732951
viis,Virgin Islands NP,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0.10781057563429458,0.09628654300296197,0.11924241600457652,0.09800982911337047,0.10311586203309939,0.09892702391561808,0.10254852504201839,0.01961567646662522,0.03618900831857863,0.04846712636722305,0.07256003725512908,0.0972273768465046,423029
voya,Voyageurs NP,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.0052956840677284836,0.004888710244686731,0.0018037481786665327,3.517057729990454e-5,0.1348691152087625,0.21721850977239612,0.2271315882027835,0.2364970105009295,0.1084710847610913,0.051484700798874544,0.011746972818168116,5.577048686127719e-4,199030
whsa,White Sands NP,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.05336667445132406,0.06096810758776252,0.14992965327895466,0.1244282548886699,0.08829083100268285,0.08031487989792606,0.07576512739307013,0.05965515866460848,0.06152347643812052,0.0827613508848877,0.07436246504024288,0.08863402047175024,702236
wica,Wind Cave NP,0,0,0,0,1,0,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.022454071217963258,0.02482023870093727,0.03748066506061516,0.07338184181005683,0.10972233290219228,0.14505137934486992,0.18224802257462724,0.1617739308825723,0.13343100414998804,0.05632622870091684,0.0277871430060135,0.025523141649247343,489399
wrst,Wrangell-St. Elias NP & PRES,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,3.061099546957267e-4,0.0011632178278437615,0.0028162115832006855,0.006367087057671116,0.06625443859434309,0.2588588220888943,0.34523080690584057,0.24513285172033794,0.0662177053997796,0.006489531039549406,7.346638912697441e-4,4.2855393657401737e-4,81670
yell,Yellowstone NP,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0.009008604545235145,0.010389403992493813,0.00692655036419086,0.015130408719587264,0.11012038943982456,0.1927790786225224,0.2091648745361064,0.18300893715117741,0.1796736035450988,0.07293407552094038,0.004454348148209039,0.006409725414613963,4744353
yose,Yosemite NP,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0.031003149832100337,0.029362607225423217,0.03568871613833447,0.05682750308299248,0.09940979769309917,0.1373453439231871,0.13932481554813217,0.13276143206122945,0.13035860242849798,0.11220006176902508,0.05598224273965278,0.03973572755832575,4121807
zion,Zion NP,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0.02444309132428953,0.02915502228605068,0.08431481715087882,0.09573662028321721,0.11917396866367794,0.12403529541146713,0.11047040063138419,0.09521605986505456,0.10231630180940736,0.10461768425615049,0.06293161028845719,0.04758912802996487,4946592
